id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1253158253598576641,1252938190467596290,1587611184000,2020-04-23,07:06:24,+04,55514481,grurbanista,Huda Shaka,,Great session - thank you!,"['hannahmelrea', 'climateinteract', 'andrewpjones']",[],[],0,0,2,[],[],https://twitter.com/GrUrbanista/status/1253158253598576641,False,,0,,,,,,,"[{'user_id': '55514481', 'username': 'GrUrbanista'}, {'user_id': '993897070976172033', 'username': 'HannahMelRea'}, {'user_id': '74801995', 'username': 'climateinteract'}, {'user_id': '77828951', 'username': 'AndrewPJones'}]",,,,
1252943432072470528,1252938190467596290,1587559967000,2020-04-22,16:52:47,+04,23499227,mariluomi,Mari Luomi,,Yes! Let's brainstorm! Will PM you.,"['hannahmelrea', 'climateinteract', 'andrewpjones']",[],[],0,0,0,[],[],https://twitter.com/mariluomi/status/1252943432072470528,False,,0,,,,,,,"[{'user_id': '23499227', 'username': 'mariluomi'}, {'user_id': '993897070976172033', 'username': 'HannahMelRea'}, {'user_id': '74801995', 'username': 'climateinteract'}, {'user_id': '77828951', 'username': 'AndrewPJones'}]",,,,
1252943039628283904,1252938190467596290,1587559873000,2020-04-22,16:51:13,+04,993897070976172033,hannahmelrea,Hannah Melville-Rea,,Yes! Let’s combine forces 😍,"['mariluomi', 'climateinteract', 'andrewpjones']",[],[],1,0,0,[],[],https://twitter.com/HannahMelRea/status/1252943039628283904,False,,0,,,,,,,"[{'user_id': '993897070976172033', 'username': 'HannahMelRea'}, {'user_id': '23499227', 'username': 'mariluomi'}, {'user_id': '74801995', 'username': 'climateinteract'}, {'user_id': '77828951', 'username': 'AndrewPJones'}]",,,,
1252939629185175552,1252938190467596290,1587559060000,2020-04-22,16:37:40,+04,23499227,mariluomi,Mari Luomi,,"Ahh it was you!! I saw someone propose organising EN-ROADS events for youth in the UAE and asked the organisers to put me in touch with the person, but that didn't work out. Cool! Signed up for the master classes? I did!","['hannahmelrea', 'climateinteract', 'andrewpjones']",[],[],1,0,1,[],[],https://twitter.com/mariluomi/status/1252939629185175552,False,,0,,,,,,,"[{'user_id': '23499227', 'username': 'mariluomi'}, {'user_id': '993897070976172033', 'username': 'HannahMelRea'}, {'user_id': '74801995', 'username': 'climateinteract'}, {'user_id': '77828951', 'username': 'AndrewPJones'}]",,,,
1252938190467596290,1252938190467596290,1587558717000,2020-04-22,16:31:57,+04,993897070976172033,hannahmelrea,Hannah Melville-Rea,,"How can #COVID19 economic stimulus packages help address #ClimateChange? 

Thank you @climateinteract for modeling the possibilities to show how green stimulus can work. Two more of these #EarthDay2020 workshops happening today! 10/10 would recommend 👇  https://register.gotowebinar.com/rt/1746806623677224206 … pic.twitter.com/9HEJmfDVaJ",['climateinteract'],['https://register.gotowebinar.com/rt/1746806623677224206'],['https://pbs.twimg.com/media/EWNPBrkXQAAPG5A.jpg'],2,2,7,"['#covid19', '#climatechange', '#earthday2020']",[],https://twitter.com/HannahMelRea/status/1252938190467596290,False,,0,,,,,,,"[{'user_id': '993897070976172033', 'username': 'HannahMelRea'}, {'user_id': '74801995', 'username': 'climateinteract'}]",,,,
1252832682251153410,1252832682251153410,1587533562000,2020-04-22,09:32:42,+04,993897070976172033,hannahmelrea,Hannah Melville-Rea,,"My top picks for #EarthDay2020 : 

@climateinteract workshop ""How Can Economic Stimulus Packages Help Address Climate Change?""

@SDSN 24hours of webinars from across the world

Digital #EarthDay celebrations:  https://www.earthday.org/earth-day-2020/ 

Lmk how you take action today! 🌻 pic.twitter.com/WDNGnEIwSV","['climateinteract', 'sdsn']",['https://www.earthday.org/earth-day-2020/'],['https://pbs.twimg.com/media/EWLw9wZUEAcdd29.jpg'],0,0,1,"['#earthday2020', '#earthday']",[],https://twitter.com/HannahMelRea/status/1252832682251153410,False,,0,,,,,,,"[{'user_id': '993897070976172033', 'username': 'HannahMelRea'}, {'user_id': '74801995', 'username': 'climateinteract'}, {'user_id': '65838924', 'username': 'sdsn'}]",,,,
1248216275840630786,1248216275840630786,1586432925000,2020-04-09,15:48:45,+04,993897070976172033,hannahmelrea,Hannah Melville-Rea,,My life now includes wildlife-inspired-zoom-workouts. Every round comes with a fun fact about a UAE species. Didn't know that this was missing in my life #ConnectWithNatureUAE pic.twitter.com/FAhqMH6osi,[],[],['https://pbs.twimg.com/media/EVKNhvVU0AIYZ7F.jpg'],0,0,2,['#connectwithnatureuae'],[],https://twitter.com/HannahMelRea/status/1248216275840630786,False,,0,,,,,,,"[{'user_id': '993897070976172033', 'username': 'HannahMelRea'}]",,,,
1246119204723609600,1246119204723609600,1585932944000,2020-04-03,20:55:44,+04,993897070976172033,hannahmelrea,Hannah Melville-Rea,,"Happy 86th birthday to Dr. Jane Goodall! To celebrate, visit the @NatGeoMuseum virtual exhibition ""Becoming Jane"" 🥰🎂 @janeg https://blog.nationalgeographic.org/2020/04/03/the-national-geographic-museum-releases-a-virtual-tour-of-its-current-exhibition-becoming-jane-the-evolution-of-dr-jane-goodall/?fbclid=IwAR1TLbHf4SbqOGNVuLF129Vo70dYdabZ_JllzxWCyWgCQW04dii5pFNzudw …","['natgeomuseum', 'janeg']",['https://blog.nationalgeographic.org/2020/04/03/the-national-geographic-museum-releases-a-virtual-tour-of-its-current-exhibition-becoming-jane-the-evolution-of-dr-jane-goodall/?fbclid=IwAR1TLbHf4SbqOGNVuLF129Vo70dYdabZ_JllzxWCyWgCQW04dii5pFNzudw'],[],0,0,1,[],[],https://twitter.com/HannahMelRea/status/1246119204723609600,False,,0,,,,,,,"[{'user_id': '993897070976172033', 'username': 'HannahMelRea'}, {'user_id': '27066503', 'username': 'NatGeoMuseum'}, {'user_id': '798506', 'username': 'janeg'}]",,,,
1244011934825021441,1243958546598952962,1585430532000,2020-03-29,01:22:12,+04,45133699,saramills91,Sara Mills,,"What a great idea, love this ☺️",['hannahmelrea'],[],[],0,0,1,[],[],https://twitter.com/saramills91/status/1244011934825021441,False,,0,,,,,,,"[{'user_id': '45133699', 'username': 'saramills91'}, {'user_id': '993897070976172033', 'username': 'HannahMelRea'}]",,,,
1243958546598952962,1243958546598952962,1585417803000,2020-03-28,21:50:03,+04,993897070976172033,hannahmelrea,Hannah Melville-Rea,,So proud of my parents for lifting their guests' spirits with balcony karaoke 🎤🥰 https://twitter.com/7NewsCairns/status/1243266472866205698 …,[],['https://twitter.com/7NewsCairns/status/1243266472866205698'],[],1,1,13,[],[],https://twitter.com/HannahMelRea/status/1243958546598952962,False,https://twitter.com/7NewsCairns/status/1243266472866205698,0,,,,,,,"[{'user_id': '993897070976172033', 'username': 'HannahMelRea'}]",,,,
